                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69799,                 2.4863,                 1.3847,                0.85951,                0.11525,                0.38471,                0.33077,                0.86263,                  2.707,                 1.6204,             0.00047137,             0.00047137,             0.00047137
                      2,                0.59816,                 1.6303,                 1.2645,                0.73731,                0.49674,                0.45431,                0.41495,                0.73893,                 1.8524,                 1.5209,             0.00094013,             0.00094013,             0.00094013
                      3,                0.57565,                 1.3686,                 1.2406,                0.58792,                0.53869,                0.56552,                 0.4319,                 1.0724,                 1.6942,                 1.6381,              0.0014013,              0.0014013,              0.0014013
                      4,                0.56402,                 1.1935,                 1.2258,                0.52463,                0.74796,                0.62669,                0.57896,                0.65279,                 1.2897,                 1.3468,              0.0013947,              0.0013947,              0.0013947
                      5,                 0.5265,                 1.0766,                 1.1874,                0.43426,                0.66769,                0.55249,                0.46558,                0.68736,                 1.4734,                 1.2612,              0.0013833,              0.0013833,              0.0013833
                      6,                0.50892,                 1.0041,                 1.1726,                0.46445,                0.75653,                0.56156,                0.52464,                0.55194,                 1.2546,                 1.1959,              0.0013719,              0.0013719,              0.0013719
                      7,                0.49618,                0.98003,                 1.1677,                0.59813,                0.73405,                0.69476,                0.62684,                0.55389,                 1.0688,                 1.1212,              0.0013605,              0.0013605,              0.0013605
                      8,                0.48809,                0.91548,                 1.1508,                 0.6313,                0.71284,                0.74352,                0.65704,                0.66835,                 1.0787,                 1.2232,              0.0013491,              0.0013491,              0.0013491
                      9,                0.49143,                0.91175,                 1.1569,                0.53361,                0.81848,                0.70415,                0.62006,                0.62034,                 1.0404,                 1.1626,              0.0013376,              0.0013376,              0.0013376
                     10,                 0.4758,                0.88995,                 1.1572,                0.64648,                0.77827,                0.76338,                0.68624,                0.55323,                0.89945,                 1.1224,              0.0013262,              0.0013262,              0.0013262
                     11,                0.48274,                0.86387,                 1.1576,                 0.5823,                0.75083,                0.67538,                0.62953,                 0.5826,                0.91858,                 1.1087,              0.0013148,              0.0013148,              0.0013148
                     12,                0.45399,                0.85102,                 1.1275,                0.62432,                0.79122,                0.76194,                0.71434,                0.57459,                0.83682,                 1.1449,              0.0013034,              0.0013034,              0.0013034
                     13,                0.43303,                0.82913,                 1.1143,                 0.7265,                0.72202,                0.77048,                0.71244,                0.55442,                0.81598,                 1.0773,               0.001292,               0.001292,               0.001292
                     14,                0.44985,                 0.8198,                 1.1352,                0.67086,                0.75303,                0.81129,                0.73405,                0.51767,                0.89583,                 1.0548,              0.0012805,              0.0012805,              0.0012805
                     15,                0.45169,                 0.8331,                 1.1378,                0.69802,                0.74672,                 0.7876,                 0.7295,                0.49161,                0.79496,                 1.0698,              0.0012691,              0.0012691,              0.0012691
                     16,                0.43865,                 0.8037,                 1.1291,                0.57241,                0.85975,                0.76577,                0.69559,                0.56157,                 1.0603,                 1.1228,              0.0012577,              0.0012577,              0.0012577
                     17,                0.42237,                0.79112,                 1.1164,                0.70783,                0.73257,                0.78631,                0.72432,                0.50754,                0.81787,                 1.0585,              0.0012463,              0.0012463,              0.0012463
                     18,                0.42983,                0.78839,                 1.1143,                 0.6524,                0.83649,                0.80108,                0.74724,                0.47763,                0.79059,                 1.0319,              0.0012349,              0.0012349,              0.0012349
                     19,                0.42729,                0.80363,                 1.1258,                0.64907,                0.77782,                0.75509,                0.71282,                 0.5305,                0.83933,                 1.0783,              0.0012234,              0.0012234,              0.0012234
                     20,                 0.4095,                0.76708,                 1.1008,                 0.6975,                0.67539,                0.76856,                0.70698,                0.52477,                0.77041,                 1.0659,               0.001212,               0.001212,               0.001212
                     21,                0.42436,                0.77635,                 1.1157,                0.55223,                0.77253,                0.72758,                0.67307,                0.49921,                0.89736,                 1.0567,              0.0012006,              0.0012006,              0.0012006
                     22,                 0.4209,                0.78923,                  1.108,                0.69544,                0.68535,                0.75688,                0.70168,                 0.5886,                0.85261,                 1.2102,              0.0011892,              0.0011892,              0.0011892
                     23,                0.40924,                0.74287,                 1.0966,                0.65454,                0.77711,                0.77946,                0.71681,                0.49121,                  1.045,                 1.0498,              0.0011777,              0.0011777,              0.0011777
                     24,                0.40511,                0.75895,                 1.1053,                0.72766,                0.74387,                0.77306,                0.72487,                0.47274,                0.76152,                 1.0103,              0.0011663,              0.0011663,              0.0011663
                     25,                0.41188,                0.73939,                 1.1025,                0.69959,                0.68106,                0.78149,                0.72864,                0.48198,                0.75739,                 1.0405,              0.0011549,              0.0011549,              0.0011549
                     26,                0.41876,                0.74687,                 1.1108,                0.67887,                0.73158,                0.82147,                0.76465,                0.51811,                0.96481,                 1.0658,              0.0011435,              0.0011435,              0.0011435
                     27,                0.39712,                0.73208,                 1.0911,                0.67794,                0.75069,                0.79466,                0.73756,                0.48722,                 0.9543,                 1.0336,              0.0011321,              0.0011321,              0.0011321
                     28,                0.41204,                0.76042,                  1.104,                0.70754,                0.81302,                0.81268,                0.75407,                0.50499,                 0.7573,                 1.0322,              0.0011206,              0.0011206,              0.0011206
                     29,                0.38528,                0.71834,                 1.0828,                0.66669,                0.85242,                0.79666,                0.74998,                0.43393,                0.75591,                0.97119,              0.0011092,              0.0011092,              0.0011092
                     30,                 0.4146,                0.73928,                 1.1051,                0.52698,                0.81056,                0.76519,                0.71278,                0.48701,                0.93645,                 1.0202,              0.0010978,              0.0010978,              0.0010978
                     31,                0.41852,                0.73311,                  1.106,                0.67671,                  0.804,                0.80983,                0.74699,                0.47879,                0.70162,                 1.0076,              0.0010864,              0.0010864,              0.0010864
                     32,                0.40662,                 0.7047,                 1.0993,                0.70382,                0.83756,                0.83997,                0.77195,                0.53202,                0.69573,                 1.0676,               0.001075,               0.001075,               0.001075
