                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69226,                 2.4462,                 1.3723,                0.00406,                0.98795,                0.34991,                0.25355,                 0.7779,                 2.7615,                 1.5306,             0.00047166,             0.00047166,             0.00047166
                      2,                0.58452,                 1.5616,                 1.2444,                0.71676,                0.55185,                0.56791,                0.43847,                0.84078,                 2.0576,                 1.5527,             0.00094071,             0.00094071,             0.00094071
                      3,                0.56343,                 1.3309,                 1.2213,                0.42056,                 0.6017,                0.50043,                0.35391,                 1.1627,                 1.8624,                 2.2872,              0.0014024,              0.0014024,              0.0014024
                      4,                0.53747,                 1.1605,                  1.196,                0.63435,                0.44781,                0.30999,                0.23551,                0.73598,                 1.8958,                 1.3556,               0.001396,               0.001396,               0.001396
                      5,                0.51606,                 1.0548,                 1.1747,                0.59716,                 0.6459,                0.66499,                0.60736,                0.67621,                 1.1517,                 1.3156,               0.001385,               0.001385,               0.001385
                      6,                0.49917,                0.98942,                 1.1698,                0.52713,                0.76853,                0.68588,                0.51732,                0.69257,                 1.2787,                 1.2412,               0.001374,               0.001374,               0.001374
                      7,                0.49455,                0.95228,                  1.162,                0.52554,                0.78159,                0.69442,                0.62657,                0.56598,                 1.1307,                 1.1296,              0.0013631,              0.0013631,              0.0013631
                      8,                0.48392,                0.92602,                 1.1472,                0.57808,                0.50675,                0.49659,                0.39104,                 0.8333,                 1.8689,                 1.5103,              0.0013521,              0.0013521,              0.0013521
                      9,                0.46304,                0.89659,                 1.1361,                0.66405,                0.70154,                 0.7523,                0.68906,                0.59876,                0.94388,                 1.1913,              0.0013411,              0.0013411,              0.0013411
                     10,                0.46291,                0.87449,                 1.1338,                0.58065,                0.67862,                0.61813,                0.53557,                0.74052,                 1.1614,                 1.3742,              0.0013301,              0.0013301,              0.0013301
                     11,                0.45584,                0.86792,                 1.1345,                0.55523,                0.77208,                0.68053,                0.62745,                0.51076,                0.96526,                 1.0474,              0.0013191,              0.0013191,              0.0013191
                     12,                0.44528,                0.82891,                 1.1265,                0.57573,                0.77652,                0.81722,                0.75869,                0.50665,                0.93013,                 1.0773,              0.0013081,              0.0013081,              0.0013081
                     13,                 0.4304,                0.81702,                 1.1157,                0.72619,                0.68562,                0.77468,                0.70269,                0.54595,                0.83759,                 1.1325,              0.0012971,              0.0012971,              0.0012971
                     14,                0.44045,                0.83414,                 1.1241,                0.71049,                0.78973,                0.82941,                 0.7709,                0.55233,                0.80106,                 1.0969,              0.0012861,              0.0012861,              0.0012861
                     15,                 0.4321,                0.82085,                 1.1221,                 0.7305,                0.72498,                0.81419,                0.76331,                0.51394,                0.82182,                 1.1101,              0.0012751,              0.0012751,              0.0012751
                     16,                0.43564,                0.79451,                 1.1132,                0.75115,                0.78975,                 0.8136,                0.74346,                0.53179,                0.78415,                 1.0589,              0.0012641,              0.0012641,              0.0012641
                     17,                0.42957,                0.80762,                 1.1131,                0.54482,                0.84922,                0.75025,                0.68831,                0.55137,                0.85443,                 1.0838,              0.0012531,              0.0012531,              0.0012531
                     18,                0.40622,                0.78318,                 1.0999,                0.73123,                0.77289,                0.82967,                 0.7771,                0.48382,                 0.7887,                 1.0181,              0.0012421,              0.0012421,              0.0012421
                     19,                0.41414,                0.78094,                 1.1061,                0.78432,                0.76815,                0.85941,                0.79745,                0.51451,                0.74404,                 1.0147,              0.0012312,              0.0012312,              0.0012312
                     20,                0.41775,                0.77451,                 1.0996,                0.75133,                0.71556,                0.84915,                0.78566,                0.47449,                0.78943,                      1,              0.0012202,              0.0012202,              0.0012202
                     21,                0.41279,                 0.7737,                 1.1049,                 0.7223,                0.75999,                0.85622,                 0.7952,                0.50936,                0.71801,                 1.0609,              0.0012092,              0.0012092,              0.0012092
                     22,                0.42045,                0.76382,                 1.1086,                0.74382,                0.76008,                0.83991,                0.77959,                0.45909,                0.64426,                0.97863,              0.0011982,              0.0011982,              0.0011982
                     23,                 0.4137,                0.76815,                 1.1027,                0.75418,                0.71274,                0.78625,                0.72308,                0.46845,                0.78159,                 1.0217,              0.0011872,              0.0011872,              0.0011872
                     24,                0.40548,                0.76596,                 1.0982,                0.71109,                0.85209,                0.85314,                0.79312,                0.43997,                0.67769,                0.96434,              0.0011762,              0.0011762,              0.0011762
                     25,                0.41118,                0.75224,                 1.1014,                0.69116,                0.75959,                0.76067,                0.70632,                0.50508,                0.73016,                 1.0415,              0.0011652,              0.0011652,              0.0011652
                     26,                0.40801,                0.75016,                 1.0934,                0.71662,                0.84126,                0.84816,                0.76766,                0.53765,                0.81907,                 1.1521,              0.0011542,              0.0011542,              0.0011542
                     27,                0.39225,                0.72784,                  1.083,                0.76249,                0.72258,                0.82747,                0.76529,                0.51945,                0.73323,                 1.0372,              0.0011432,              0.0011432,              0.0011432
                     28,                0.39798,                0.70668,                 1.0866,                0.82164,                 0.7341,                0.86631,                0.79019,                0.50829,                 0.7502,                 1.0616,              0.0011322,              0.0011322,              0.0011322
                     29,                0.39087,                0.74092,                 1.0864,                0.71471,                0.70115,                0.78327,                0.71693,                0.45557,                 0.8125,                0.97604,              0.0011212,              0.0011212,              0.0011212
                     30,                0.39394,                0.71069,                 1.0809,                0.79468,                0.73866,                0.84995,                0.75987,                0.53105,                0.81448,                 1.0453,              0.0011103,              0.0011103,              0.0011103
                     31,                0.37816,                0.69637,                  1.075,                 0.6023,                0.82736,                0.82286,                0.75153,                0.45585,                0.87499,                0.99812,              0.0010993,              0.0010993,              0.0010993
                     32,                0.38968,                0.72143,                 1.0871,                0.66748,                0.80931,                 0.8316,                0.77323,                0.46016,                0.78415,                0.96846,              0.0010883,              0.0010883,              0.0010883
                     33,                0.39574,                0.71577,                 1.0911,                0.61706,                0.86419,                0.81801,                0.76745,                0.47905,                0.77282,                 0.9952,              0.0010773,              0.0010773,              0.0010773
                     34,                0.39853,                0.71138,                 1.0914,                0.78902,                0.81503,                0.87139,                0.80281,                0.45035,                0.70867,                0.95983,              0.0010663,              0.0010663,              0.0010663
                     35,                0.39821,                0.72402,                  1.091,                0.81476,                0.79343,                0.86299,                0.80735,                0.44448,                0.63164,                0.94901,              0.0010553,              0.0010553,              0.0010553
                     36,                0.39096,                0.70538,                 1.0833,                0.78544,                0.80834,                0.85509,                0.80148,                0.44185,                0.63404,                0.93765,              0.0010443,              0.0010443,              0.0010443
                     37,                0.39517,                0.68859,                 1.0885,                0.77528,                0.76162,                0.85804,                0.79337,                0.44725,                0.63336,                0.96515,              0.0010333,              0.0010333,              0.0010333
                     38,                0.39795,                0.70877,                 1.0852,                 0.7107,                0.80498,                0.82944,                0.77612,                 0.4349,                0.65586,                0.96927,              0.0010223,              0.0010223,              0.0010223
                     39,                0.38869,                0.69266,                 1.0863,                0.78212,                0.69312,                0.84555,                0.78913,                 0.4729,                0.80004,                 1.0205,              0.0010113,              0.0010113,              0.0010113
                     40,                  0.387,                0.68988,                 1.0793,                0.75269,                0.83386,                0.84342,                0.78206,                0.46034,                 0.6707,                0.97576,              0.0010003,              0.0010003,              0.0010003
                     41,                0.38779,                0.69257,                 1.0727,                0.70105,                 0.7945,                0.81829,                0.75194,                0.43288,                0.66971,                0.96447,             0.00098935,             0.00098935,             0.00098935
                     42,                0.37424,                0.65979,                 1.0703,                 0.7372,                0.78269,                0.83645,                0.77541,                0.46577,                0.70991,                0.99779,             0.00097836,             0.00097836,             0.00097836
                     43,                 0.3694,                0.66292,                  1.071,                0.66927,                0.84295,                0.84505,                 0.7533,                 0.5228,                0.79828,                 1.0429,             0.00096737,             0.00096737,             0.00096737
